"site_name","central_asset_id","easting","northing","feature_location","coltype","listed","suitable"
"ABBEY GARDENS","00071764",526342.42,183256.02,"At or Outside 19-21","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019950",526207.93,183143.15,"At or Outside 52","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019942",526329.22,183231.73,"Opposite 2","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019943",526312.64,183228.28,"At or Outside 4","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019944",526303.56,183210.95,"At or Outside 13","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019945",526280.68,183202.46,"At or Outside 18","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019946",526269.71,183183.35,"At or Outside 27","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019947",526245.67,183174.01,"At or Outside 34","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019948",526240.35,183159.3,"At or Outside 41","Small Grey Wornum","Heritage","False"
"ABBEY GARDENS","00019949",526221.67,183153.51,"At or Outside 46","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019951",529733.84,179299.83,"At or Outside 10","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019960",529833.13,179371.13,"Opposite ORCHARD ESTATE","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019961",529859.75,179368.22,"At or Outside CO ST ANNE S STREET","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019962",529883.16,179377.39,"At or Outside 12MTRS FROM GREAT SMITH STREET","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019952",529742.42,179316.2,"At or Outside 3","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019953",529735.07,179337,"At or Outside THE ABBEY","Small Grey Wornum","Heritage","False"
"ABBEY ORCHARD STREET","00019954",529745.02,179347.86,"Opposite THE ABBEY","Small Grey Wornum","Heritage","False"
