"ChargepointID","LocationName","FeatureLocation","easting","northing"
"Suby1100006559","Abercorn Place","At or Outside 14",526301.85,183083.15
"Suby1100002371","Abercorn Place","At or Outside 2 ABERCORN COTTAGES",526117.09,182928.2
"Suby1100006543","Abercorn Place","At or Outside 2A",526203.86,183000.96
"Suby1100002377","Abercorn Place","At or Outside CHURCH HALL",526231.33,183039.86
"Suby1100002350","Abercorn Place","At or Outside WARNER HOUSE",526089.19,182922.22
"Suby1100006647","Adpar Street","At or Outside DEVONSHIRE HOUSE",526742.77,181973.4
"Suby1100007830","Albion Street","Outside No. 42",527314.42,180967.37
"Suby1100007235","Aldridge Road Villas","At or Outside 11",524986.06,181536.56
"Suby1100007231","Aldridge Road Villas","At or Outside 15",524977.78,181551.25
"Suby1100006978","Aldridge Road Villas","At or Outside 26",524955.39,181571.19
"Suby1100002497","Aldridge Road Villas","At or Outside 34",524940.59,181596.49
"Suby1100002503","Aldridge Road Villas","At or Outside 40",524926.95,181620.03
"Suby1100007216","Aldridge Road Villas","At or Outside 47",524920.65,181648.6
"Suby1100007194","Aldridge Road Villas","Side of WESTBURY HOUSE",525010.31,181478.38
"Suby1100002493","Alexander Street","Opposite 26",525531.2,181279.34
"Suby1100006191","Alfred Road","Opposite HARBOUR CLUB",525366.18,181790.32
"Suby1100006208","Alfred Road","Opposite Playground",525313.72,181770.92
"Suby1100006125","Allitsen Road","At or Outside 42-51 TOWNSHEND CURT",527274.74,183395.63
"Suby1100006241","Artesian Road","At or Outside 15",525268.96,181171.53
"Suby1100006552","Artesian Road","At or Outside 16",525244.25,181176.65
"Suby1100005860","Artesian Road","At or Outside 41",525151.43,181159.35
"Suby1100005908","Artesian Road","Opposite 73",525064.22,181166.54
"Suby1100007201","Ashmore Road","At or Outside 164/166",524761.62,182756.08
"Suby1100005802","Ashmore Road","At or Outside 180",524749.08,182800.75
"Suby1100006227","Ashmore Road","At or Outside 196/198",524734.09,182846.19
"Suby1100007198","Ashmore Road","At or Outside 228",524701.35,182947.01
"Suby1100006547","Ashmore Road","At or Outside 22B",524751.44,182316.25
"Suby1100007251","Ashmore Road","At or Outside 244/246",524686.66,182990.31
"Suby1100006221","Ashmore Road","At or Outside 7-29",524764.26,182353.1
"Suby1100007270","Ashmore Road","At or Outside 88",524768.01,182502.44
"suby1100006621","Ashmore Road","Opposite 60",524769.46,182416
"Suby1100005784","Atterbury Street","Side of GALLERY",530057.57,178515.08
"Suby1100005948","Atterbury Street","Side of TATE GALLERY",530010.3,178537.38
"Suby1100005969","Barfett Street","Side of 16 Alperton Street",524524.51,182421.94
"Suby1100007272","Barnsdale Road","At or Outside 37B",524962.87,182344.26
"Suby1100007212","Barnsdale Road","At or Outside 55B",524916.87,182356.98
"Suby1100002567","Beethoven street","At or Outside 15F",524386.53,182878.17
"Suby1100002888","Beethoven Street","Opposite 13",524417.27,182874.34
"Suby1100002373","Beethoven Street","Opposite 1B",524463.16,182850.32
"Suby1100006572","Belgrave Gardens","At or Outside BELGRAVE MANSIONS",526028.61,183584.64
"Suby1100003292","Belgrave Road","At or Outside 72 WARWICK SQUARE",529209.56,178581.16
"Suby1100003297","Belgrave Road","At or Outside 79 WARWICK SQUARE",529171.25,178608.81
"Suby1100003300","Belgrave Road","Opposite 72 WARWICK SQUARE",529195.55,178573.19
"Suby1100005810","Bell Street","At or Outside 30",527135.13,181815.89
"Suby1100006187","Biddulph Road","Opposite 4",525858.44,182537.86
"Suby1100006195","Biddulph Road","Side of ASHWORTH MANSIONS",525751.27,182688.62
"Suby1100002707","Blandford street","At or Outside 55",528119.35,181547.25
"Suby1100002716","Blandford street","At or Outside 61",528099.29,181530.03
"Suby1100002717","Blandford street","At or Outside 71",528015.7,181506.7
"Suby1100004891","Blandford street","St James church next to Aybrook Street",528257.71,181556.26
"Suby1100006169","Blenheim Road","At or Outside 25",526288.48,183437.31
"Suby1100006181","Blenheim Road","At or Outside 8",526323.62,183449.11
"Suby1100006092","Blomfield Road","At or Outside 16",526441.81,182117.28
"Suby1100006639","Blomfield Road","At or Outside 18",526418.35,182095.47
"Suby1100008402","Blomfield Road","At or Outside 20",526399.95,182078.25
"Suby1100005999","Blomfield Road","At or Outside 26",526315.59,182000.37
"Suby1100006176","Blomfield Road","At or Outside 26",526333.28,182016.45
"Suby1100007205","Blomfield Road","At or Outside 27",526388.97,182068.4
"Suby1100005984","Blomfield Road","At or Outside 31",526274.59,181962.24
"Suby1100006214","Blomfield Road","At or Outside 59",525951.34,181920.22
"Suby1100008400","Blomfield Villas","At or Outside 38",526027.97,181798.55
"Suby1100008405","Blomfield Villas","Opposite 24 O?S 17-31 Blomfield Villas",526003.13,181755.99
"Suby1100002578","Bradiston Road","At or Outside 18",524891.93,182883.71
"Suby1100002587","Bradiston Road","At or Outside 8",524873.04,182870.24
"Suby1100006541","Bradiston Road","Opposite 121A",524828.6,182844.87
"Suby1100002579","Bradiston Road","Side of SALTRAM CRESCENT",524913.42,182895.98
"Suby1100003283","Bravington Road","At or Outside 50/52",524641.3,182502.44
"Suby1100002583","Bravington Road","At or Outside 66/68",524644.98,182546.04
"Suby1100003239","Bravington Road","At or Outside 81/83",524656.44,182571.13
"Suby1100007838","Bremner Road","Side of 188 QUEENS GATE",526471.6,179477.02
"Suby1100006615","Bridgeman Street","At or Outside 8",527110.37,183166.74
"Suby1100002869","Broadley Street","At or Outside 14",527116.48,182008.94
"Suby1100002537","Broadley Street","At or Outside Lyon House",527167.12,182045.04
"Suby1100002828","Broadley Street","Opposite 123",526981.25,181881.51
"Suby1100006193","Burwood Place","At or Outside WATER GARDENS",527339.4,181347.59
"Suby1100007271","Caird Street","At or Outside 23",524514.63,182540.49
"Suby1100006128","Caird Street","At or Outside 35",524476.69,182546
"Suby1100006223","Caird Street","At or Outside 5",524570.32,182531.93
"Suby1100006226","Cambridge Square","At or Outside 18",527175.83,181297.29
"Suby1100006142","Cambridge Square","At or Outside 50YDS FROM SL8",527193.51,181313.84
"Suby1100002557","Cambridge Street","Opposite 132",529101.02,178343.87
"Suby1100003287","Cambridge Street","outside 52",529143.36,178312.8
"Suby1100002553","Cambridge Street","outside 70",529225.78,178253.55
"Suby1100008470","Capland Street","At or Outside 9-16 CAPLAND HOUSE",526946.67,182312.15
"Suby1100008475","Carlton Hill","At or Outside 11",526322.05,183570.41
"Suby1100008479","Carlton Hill","At or Outside 17",526293.39,183553.1
"Suby1100008482","Carlton Hill","At or Outside 5/7",526348.04,183586.44
"Suby1100005892","Carlton Hill","At or Outside 57",526089.93,183410.3
"Suby1100008483","Carlton Hill","Opposite 65/67",526049.71,183375.61
"Suby1100008485","Carlton Hill","Opposite 78",525987.73,183321.79
"Suby1100008466","Carlton Hill","Opposite 80",525964.83,183303
"Suby1100005858","Carlton Hill","Opposite 84",525944.04,183285.61
"Suby1100000096","Carlton Vale","At or Outside 47",525515.03,183017.61
"Suby1100007364","Carlton Vale","At or Outside 47 KEITH HOUSE",525489.97,183014.07
"Suby1100007605","Carlton Vale","At or Outside 5 HELMSDALE HOUSE",525661.07,183066.1
"Suby1100003116","Carlton Vale","At or Outside 8",525715.74,183116.05
"Suby1100000230","Carlton Vale","Outside Invergarry House",525604.16,183040.97
"Suby1100006150","Castellain Road","At or Outside 1-15",525811.35,182383.21
"Suby1100006139","Castellain Road","At or Outside 114-128",525720.61,182431.2
"Suby1100006154","Castellain Road","At or Outside 18-32",525784.46,182386.91
"Suby1100006137","Castellain Road","At or Outside 23",525922.62,182245.54
"Suby1100006140","Castellain Road","At or Outside 26",525923.08,182263.78
"Suby1100006158","Castellain Road","At or Outside 49-63",525774.26,182408.7
"Suby1100006148","Castellain Road","At or Outside 5",525959.63,182205.41
"Suby1100006149","Castellain Road","At or Outside 66-80",525752.08,182409.27
"Suby1100006155","Castellain Road","At or Outside 98-112",525733.89,182421.98
"Suby1100007811","Causton Street","Outside 1 - 16 (next to Fairley House School)",529821.42,178523.81
"Suby1100004892","Caxton street","Opposite Vandon Street",529469.01,179375.28
"Suby1100002837","Charlwood Street","At or Outside 8",529430.95,178613.32
"Suby1100002577","Charlwood Street","Opposite 82",529160.7,178201.71
"Suby1100000205","Chepstow Road","Outside No. 29",525300.03,181262.18
"Suby1100000187","Chepstow Road","Outside No. 49",525287.65,181319.48
"Suby1100000254","Chepstow Road","Outside No. 7",525310.9,181214.83
"Suby1100003294","Chester Row","Opposite 2",528403.77,178849.42
"Suby1100003234","Chippenham road","AT OR OUTSIDE NO.73",525157.13,182401.97
"Suby1100006565","Chippenham Road","AT OR OUTSIDE NO.25/27",525146.74,182150.04
"Suby1100007215","Chippenham Road","AT OR OUTSIDE NO.31/33",525147.66,182166.75
"Suby1100007226","Chippenham Road","At or Outside no.79",525157.75,182418.52
"Suby1100007254","Chippenham Road","AT OR OUTSIDE NO30/32",525134.3,182119.74
"Suby1100007132","Churchill Gardens Road","At or Outside Maitland House",529133,177971.44
"Suby1100007546","Churchill Gardens Road","Opposite 1-24 Elgar House",528935.03,178010.53
"suby1100007318","Churchill Gardens Road","Opposite KEATS HOUSE",529316.45,178004.29
